범죄유형,성별,2020년 건수,2020년 구성비,2021년 건수,2021년 구성비,2022년 건수,2022년 구성비,2023년 건수,2023년 구성비,2024년 건수,2024년 구성비
전체범죄,계,1587866,100.0,1429826,100.0,1482433,100.0,1520200,100.0,1583108,100.0
전체범죄,남성,739995,46.6,615647,43.1,648849,43.8,661271,43.5,699382,44.2
전체범죄,여성,458318,28.9,406593,28.4,429065,28.9,440826,29.0,473580,29.9
전체범죄,미상,389553,24.5,407586,28.5,404519,27.3,418103,27.5,410146,25.9
살인범죄,계,724,100.0,658,100.0,702,100.0,770,100.0,772,100.0
살인범죄,남성,416,57.5,381,57.9,407,58.0,443,57.5,436,56.5
살인범죄,여성,285,39.4,269,40.9,293,41.7,327,42.5,336,43.5
살인범죄,미상,23,3.1,8,1.2,2,0.3,0,0.0,0,0.0
강도범죄,계,663,100.0,495,100.0,516,100.0,573,100.0,457,100.0
강도범죄,남성,367,55.4,260,52.5,298,57.8,324,56.5,270,59.1
강도범죄,여성,277,41.8,224,45.3,218,42.2,248,43.3,187,40.9
강도범죄,미상,19,2.8,11,2.2,0,0.0,1,0.2,0,0.0
