죄종,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
계,1583108,713722,62122,64760,116411,137666,149138,146901,162366,30022
강력범죄 소계,23443,8246,2194,1425,1478,1619,2154,2529,3451,347
살인기수,274,99,17,21,27,20,20,34,30,6
살인미수등,498,134,41,37,47,39,61,57,79,3
강도,457,162,50,22,30,33,39,40,79,2
강간,4777,2107,556,303,243,252,326,358,513,119
유사강간,897,386,119,64,44,45,58,73,93,15
강제추행,15377,5069,1301,902,993,1136,1528,1812,2442,194
기타강간/강제추행등,148,66,11,4,5,9,12,16,18,7
방화,1015,223,99,72,89,85,110,139,197,1
절도범죄,183534,34281,12677,13753,22936,27673,29609,24797,17105,703
