죄종,발생장소_계,거주지/집_소계,"거주지/집_단독주택(다가구,다중)",거주지/집_아파트,거주지/집_다세대/연립,거주지/집_오피스텔(원룸),거주지/집_기타주거시설(기숙사 등),도로_소계,도로_고속도로,도로_자동차전용도로
계,"1,583,108","250,020","49,257","120,716","44,718","23,526","11,803","350,752","15,175","4,426"
(%),(100.0),(15.8),(3.1),(7.6),(2.8),(1.5),(0.7),(22.2),(1.0),(0.3)
강력범죄 소계,"23,443","6,190","1,122","2,128","1,452","1,236",252,"1,735",21,2
살인기수,274,168,35,67,44,14,8,12,-,-
살인미수등,498,246,50,95,69,22,10,61,1,-
강도,457,96,26,21,13,33,3,65,-,-
강간,"4,777","2,279",357,712,581,567,62,46,1,-
유사강간,897,403,59,107,106,103,28,18,-,-
강제추행,"15,377","2,371",420,903,496,442,110,"1,447",18,2
기타강간/강제추행등,148,82,15,32,19,12,4,3,-,-
방화,"1,015",545,160,191,124,43,27,83,1,-
절도범죄,"183,534","28,800","5,203","14,510","5,422","2,838",827,"22,009",39,11
폭력범죄 소계,"219,798","64,060","11,421","32,225","13,031","5,673","1,710","45,601",710,403
상해,"19,578","5,451","1,251","2,407","1,009",604,180,"3,760",57,19
폭행,"115,254","32,025","5,262","17,029","6,520","2,488",726,"25,387",188,148
체포·감금,956,321,54,109,72,76,10,113,16,4
협박,"24,190","9,330","1,787","4,439","2,035",792,277,"4,721",407,196
약취·유인,316,103,16,57,20,9,1,59,-,-
폭력행위등,"5,713",936,194,403,145,132,62,"1,224",-,-
공갈,"6,003","1,424",309,707,198,116,94,274,1,-
손괴,"47,788","14,470","2,548","7,074","3,032","1,456",360,"10,063",41,36
지능범죄 소계,"505,205","58,484","12,941","28,031","8,099","4,850","4,563","20,634","1,366",400
직무유기,"1,077",44,10,14,7,6,7,23,2,-
직권남용,"1,611",75,20,34,16,2,3,76,1,-
증수뢰,307,9,1,3,1,1,3,4,-,-
통화,489,9,4,2,1,1,1,7,-,-
문서·인장,"12,746","1,235",199,719,126,96,95,397,18,2
유가증권인지,59,5,2,-,1,1,1,1,-,-
사기,"421,421","52,213","12,032","24,648","7,161","4,215","4,157","9,136","1,282",376
횡령,"63,601","4,565",632,"2,424",761,491,257,"10,987",62,22
배임,"3,897",329,41,187,25,37,39,3,1,-
풍속범죄 소계,"27,602","8,144","1,489","3,973","1,391",932,359,1028,5,-
성풍속범죄,"18,737","5,703",826,"2,934","1,026",707,210,"1,008",5,-
도박범죄,"8,865","2,441",663,"1,039",365,225,149,20,-,-
특별경제범죄,"103,870","19,894","3,496","11,128","2,889","1,155","1,226","1,399",20,2
마약범죄,"11,380","4,116","1,419",906,"1,069",612,110,595,16,2
보건범죄,"9,317","1,123",171,265,117,488,82,310,5,2
환경범죄,"2,728",53,18,21,8,1,5,68,-,-
교통범죄,"231,210","1,967",108,"1,591",132,78,58,"219,937","12,027","3,230"
노동범죄,339,6,1,3,-,1,1,1,-,-
안보범죄,259,75,16,18,4,24,13,8,-,-
선거범죄,"1,599",117,24,59,13,7,14,140,-,-
병역범죄,"10,223","1,450",377,504,309,167,93,15,1,-
기타범죄,"252,598","55,541","11,451","25,354","10,782","5,464","2,490","37,272",965,374
