죄종,서울_동작구,서울_관악구,서울_서초구,서울_강남구,서울_송파구,서울_강동구,서울_소계,기타_중구,기타_서구,기타_동구
계,9014,16539,17238,31705,18321,11267,112374,3517,3642,4359
(%),(0.6),(1.0),(1.1),(2.0),(1.2),(0.7),(7.1),(0.2),(0.2),(0.3)
강력범죄_소계,190,353,384,677,334,178,1560,50,35,71
살인기수,1,1,4,3,4,-,18,1,-,-
살인미수등,-,3,6,13,1,3,34,-,3,2
강도,1,3,5,17,3,4,38,1,1,5
강간,20,88,52,161,71,24,297,14,9,13
유사강간,7,22,13,42,8,9,57,1,2,-
강제추행,152,221,295,428,236,133,1033,30,16,49
기타강간/강제추행등,2,4,1,4,1,-,10,-,1,-
방화,7,11,8,9,10,5,73,3,3,2
절도범죄,1091,1967,1587,2094,2500,1662,15010,574,662,567
폭력범죄_소계,1187,2167,1812,3335,2346,1519,16119,645,470,728
상해,78,103,71,246,119,96,1708,69,54,99
폭행,701,1304,1091,1900,1374,909,8179,391,227,384
체포·감금,4,17,13,27,15,3,54,1,2,-
협박,148,265,182,348,293,172,1836,47,57,103
약취·유인,3,4,6,8,2,6,24,-,-,2
폭력행위등,11,34,35,76,32,22,449,23,10,14
공갈,44,37,58,119,91,38,450,5,18,12
손괴,198,403,356,611,420,273,3419,109,102,114
지능범죄_소계,3015,5793,6121,12706,6611,3441,36912,1085,1220,1388
직무유기,4,9,34,13,12,6,118,2,9,4
직권남용,4,15,20,23,18,5,96,7,2,12
증수뢰,-,1,9,12,3,1,18,-,-,3
통화,2,2,11,14,13,2,25,3,1,2
문서·인장,54,106,205,250,197,76,1016,36,29,34
유가증권인지,-,1,4,6,3,-,6,1,-,-
사기,2358,4753,4722,10554,5184,2876,30610,816,1013,1132
횡령,569,871,1024,1627,1099,456,4728,213,159,191
배임,24,35,92,207,82,19,295,7,7,10
풍속범죄_소계,335,338,216,517,283,190,2132,36,41,49
성풍속범죄,130,298,196,391,243,155,1372,29,30,32
도박범죄,205,40,20,126,40,35,760,7,11,17
특별경제범죄,628,1285,1661,2982,1028,1034,7442,226,209,262
마약범죄,72,173,220,817,154,68,891,15,26,55
보건범죄,49,73,137,411,128,42,1394,44,21,37
환경범죄,2,1,1,1,1,2,151,-,1,2
교통범죄,828,1125,1787,2991,1767,1028,11534,307,358,483
노동범죄,1,6,4,10,6,2,36,4,-,2
안보범죄,3,-,1,6,31,3,8,-,-,-
선거범죄,8,17,13,14,8,11,87,3,2,1
병역범죄,88,228,128,193,91,100,512,7,16,7
기타범죄,1517,3013,3166,4951,3033,1987,18586,521,581,707
