오락시설_공원_놀이시설,오락시설_게임장_PC방,오락시설_기타_DVD방_유원지,학교_도서관_학원_소계,학교_도서관_학원_어린이집_유치원,학교_도서관_학원_학교,학교_도서관_학원_도서관,학교_도서관_학원_학원,학교_도서관_학원_기타_교육시설
"5,307","7,072","2,360","11,216",824,"7,416",595,"1,399",982
(0.3),(0.4),(0.1),(0.7),(0.1),(0.5),(0.0),(0.1),(0.1)
227,100,153,666,11,480,19,113,43
-,-,1,-,-,-,-,-,-
6,2,-,-,-,-,-,-,-
7,2,1,3,1,1,-,1,-
14,7,29,23,-,15,3,4,1
4,2,9,14,2,7,-,3,2
182,82,109,615,7,447,16,105,40
1,-,2,5,-,5,-,-,-
13,5,2,6,1,5,-,-,-
"1,210","1,582",374,"2,133",50,"1,552",229,149,153
"1,480",866,476,"2,452",87,"1,496",96,160,163
153,68,48,460,5,409,10,13,23
896,427,259,1250,31,"1,000",60,74,85
4,4,5,9,-,7,-,2,-
101,51,24,178,9,127,7,17,18
11,-,2,17,9,4,1,1,2
106,47,32,173,9,152,-,8,4
32,50,10,76,3,65,1,4,3
177,219,96,289,21,182,17,41,28
"1,200","1,410",244,"1,411",62,811,75,297,166
2,-,-,31,-,30,1,-,-
2,3,-,13,1,8,3,-,1
-,-,-,19,-,17,-,1,1
-,1,-,1,-,1,-,-,-
19,18,10,66,7,45,1,4,9
-,-,-,-,-,-,-,-,-
184,"1,082",120,769,41,374,23,227,104
993,305,114,469,13,315,45,52,44
-,1,-,43,-,21,2,13,7
185,"1,186",131,483,2,316,55,70,40
164,311,41,474,2,309,55,69,39
21,875,90,9,-,7,-,1,1
38,140,86,363,31,136,27,113,56
36,9,3,10,-,6,-,1,3
8,13,18,9,-,4,-,-,5
3,-,2,8,-,7,-,-,1
44,1,5,87,1,77,1,-,8
-,-,-,1,-,1,-,-,-
-,-,-,1,-,1,-,-,-
7,1,-,46,1,32,3,-,10
-,1,2,48,4,10,3,1,30
869,"1,764",866,"3,498",575,"2,037",87,495,304
