대분류,소분류,계,소계_서울,소계_한서,종로구,중구,용산구,성동구,광진구,동대문구,중랑구
계,계,1583108,1581366,301804,10015,9919,10736,8798,9803,10817,10744
계,(%),(100.0),(99.9),(19.1),(0.6),(0.6),(0.7),(0.6),(0.6),(0.7),(0.7)
강력범죄,소계,23443,23372,5907,223,198,282,128,252,144,159
강력범죄,살인기수,274,272,58,-,3,5,2,1,2,3
강력범죄,살인미수등,498,493,86,1,2,5,3,1,5,2
강력범죄,강도,457,451,86,5,5,4,2,6,4,2
강력범죄,강간,4777,4753,1124,31,21,52,22,49,25,35
강력범죄,유사강간,897,896,236,6,7,9,3,9,9,5
강력범죄,강제추행,15377,15346,4111,171,150,201,88,178,90,102
강력범죄,기타강간/강제추행등,148,146,26,-,2,-,1,1,1,-
강력범죄,방화,1015,1015,180,9,8,6,7,7,8,10
절도범죄,소계,183534,183499,35501,1180,1410,1072,968,1321,1618,1439
폭력범죄,소계,219798,219666,39494,1360,1378,1941,1033,1303,1462,1579
폭력범죄,상해,19578,19551,2464,110,96,103,74,89,88,117
폭력범죄,폭행,115254,115209,22846,785,866,1187,504,705,869,840
폭력범죄,체포·감금,956,948,168,2,5,9,1,7,2,3
폭력범죄,협박,24190,24166,4382,143,125,146,148,120,168,186
폭력범죄,약취·유인,316,315,66,1,-,5,1,2,2,5
폭력범죄,폭력행위등,5713,5705,780,23,37,47,17,22,27,41
폭력범죄,공갈,6003,5986,1092,27,21,43,35,44,39,52
폭력범죄,손괴,47788,47786,7696,269,228,401,253,314,267,335
지능범죄,소계,505208,504284,101873,3370,2784,2875,3409,2976,3424,3386
지능범죄,직무유기,1077,1077,224,15,9,12,9,6,8,2
지능범죄,직권남용,1611,1611,280,24,15,13,3,10,13,8
지능범죄,증수뢰,307,307,77,3,3,2,1,5,2,-
지능범죄,통화,489,482,185,11,49,3,3,8,7,3
지능범죄,문서·인장,12746,12714,2395,73,76,43,73,80,66,77
지능범죄,유가증권인지,59,59,28,2,4,-,-,1,1,-
지능범죄,사기,421421,420616,81265,2440,1770,2170,2738,2150,2685,2809
지능범죄,횡령,63601,63536,16436,766,823,594,555,694,617,468
지능범죄,배임,3897,3882,983,36,35,38,27,22,25,19
풍속범죄,소계,27602,27497,5180,148,115,151,144,213,161,163
풍속범죄,성풍속범죄,18737,18681,4161,129,99,128,123,169,125,126
풍속범죄,도박범죄,8865,8816,1019,19,16,23,21,44,36,37
특별경제범죄,소계,103870,103797,23969,845,995,848,669,799,807,843
마약범죄,소계,11380,11327,3071,59,56,178,86,80,91,58
보건범죄,소계,9317,9311,2098,81,95,102,21,34,81,42
환경범죄,소계,2728,2727,34,-,-,1,-,1,2,1
교통범죄,소계,231210,231210,27614,715,717,978,768,899,1265,1051
노동범죄,소계,339,337,59,5,1,-,3,-,1,1
안보범죄,소계,259,230,90,5,3,6,1,-,2,1
선거범죄,소계,1599,1598,302,18,18,7,11,9,5,8
병역범죄,소계,10223,10169,2061,35,15,37,55,81,85,77
기타범죄,소계,252598,252342,54551,1971,2134,2258,1502,1835,1669,1936
